RNAseqname                                   	numofnts  	Time(s)   	MFEILP    	MFEARCHIVE	MFERNAstr 	MFERNAFold	MFEUNAfold	F1ILP     	F1RNAstr  	F1RNAFold 	F1UNAFold 	FbILP     	FbRNAstr  	FbRNAFold 	FbUNAFold 	INFILP    	INFRNAstr 	INFRNAFold	INFUNAFold
srp_Baci.subt._X06803                        	53        	85.59     	-11.88    	-8.00     	-8.40     	-8.40     	-10.10    	0.92      	0.92      	0.92      	0.92      	0.88      	0.88      	0.88      	0.88      	0.93      	0.93      	0.93      	0.93      
srp_Bdel.bact._BX842656                      	56        	93.10     	-15.39    	-7.80     	-12.20    	-11.80    	-12.40    	0.32      	0.00      	0.00      	0.30      	0.38      	0.00      	0.00      	0.37      	0.33      	0.00      	0.00      	0.31      
srp_Cory.glut._AP009044                      	52        	123.53    	-20.68    	-5.00     	-17.80    	-19.50    	-16.00    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Cory.glut._BA000036                      	52        	100.36    	-24.24    	-5.00     	-21.50    	-23.10    	-19.10    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Kine.radi._CP000750                      	53        	297.97    	-24.72    	-7.40     	-24.50    	-25.40    	-21.60    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Lact.brev._CP000416                      	55        	153.63    	-14.68    	-5.90     	-10.60    	-9.50     	-11.00    	0.23      	0.56      	0.58      	0.00      	0.27      	0.64      	0.65      	0.00      	0.24      	0.57      	0.59      	0.00      
srp_Magn.magn._AP007255                      	58        	189.23    	-19.71    	-8.60     	-16.40    	-14.60    	-15.50    	0.56      	0.00      	0.54      	0.23      	0.64      	0.00      	0.62      	0.27      	0.57      	0.00      	0.55      	0.24      
srp_Myco.bovi._BX248347                      	59        	246.71    	-25.81    	-5.80     	-22.80    	-23.90    	-19.60    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Myco.spec._CP000518                      	53        	67.73     	-23.87    	-5.60     	-21.10    	-23.30    	-18.10    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Pedi.pent._CP000422                      	59        	215.43    	-18.26    	-8.20     	-11.30    	-11.00    	-13.60    	0.74      	0.15      	0.00      	0.24      	0.83      	0.17      	0.00      	0.26      	0.75      	0.16      	0.00      	0.24      
srp_Proc.mari._AE017126                      	51        	48.96     	-16.00    	-8.90     	-16.00    	-15.40    	-16.60    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Sacc.eryt._AM420293                      	53        	302.16    	-24.72    	-7.40     	-24.50    	-25.40    	-21.60    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Shig.flex._AE016979                      	54        	155.70    	-18.10    	-9.90     	-14.50    	-14.50    	-14.40    	0.25      	0.67      	0.67      	0.67      	0.29      	0.73      	0.73      	0.73      	0.26      	0.67      	0.67      	0.67      
srp_Stre.pyog._AM295007                      	57        	135.04    	-15.04    	-11.80    	-13.10    	-11.80    	-14.80    	0.61      	0.83      	1.00      	0.83      	0.66      	0.93      	1.00      	0.93      	0.61      	0.85      	1.00      	0.85      
tRNA_tdbR00000363-Ascaris_suum-6253-Arg-PCU  	54        	200.83    	-12.28    	-3.60     	-9.70     	-9.70     	-10.10    	0.43      	0.84      	0.84      	0.84      	0.45      	0.93      	0.93      	0.93      	0.43      	0.85      	0.85      	0.85      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	177.88    	-15.23    	-5.00     	-11.50    	-13.80    	-15.80    	0.90      	0.33      	0.28      	0.28      	0.92      	0.33      	0.27      	0.27      	0.90      	0.33      	0.28      	0.28      
tRNA_tdbR00000398-Ascaris_suum-6253-Ser-UCU  	54        	203.38    	-12.28    	-3.20     	-9.70     	-9.70     	-10.10    	0.93      	0.42      	0.42      	0.42      	0.93      	0.45      	0.45      	0.45      	0.93      	0.43      	0.43      	0.43      
tRNA_tdbR00000592-Ascaris_suum-6253-Gln-UG   	58        	3435.09   	-7.28     	1.40      	-6.50     	-6.20     	-10.00    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
tRNA_tdbR00000593-Ascaris_suum-6253-Trp-CA   	60        	241.55    	-13.77    	-2.20     	-8.70     	-8.70     	-9.70     	0.57      	0.57      	0.57      	0.57      	0.62      	0.62      	0.62      	0.62      	0.58      	0.58      	0.58      	0.58      
tRNA_tdbR00000594-Ascaris_suum-6253-Leu-AA   	58        	1461.67   	-10.59    	-1.30     	-8.90     	-7.60     	-9.50     	0.65      	0.29      	0.65      	0.29      	0.66      	0.27      	0.66      	0.27      	0.65      	0.29      	0.65      	0.29      
16s_C.elegans_domain4                        	73        	3247.74   	-15.96    	3.00      	-14.00    	-12.40    	-14.60    	0.00      	0.25      	0.00      	0.25      	0.00      	0.33      	0.00      	0.33      	0.00      	0.28      	0.00      	0.28      
srp_Aqui.aeol._AE000657                      	77        	875.28    	-46.86    	-44.80    	-45.90    	-45.90    	-42.00    	0.57      	0.57      	0.57      	1.00      	0.59      	0.59      	0.59      	1.00      	0.57      	0.57      	0.57      	1.00      
srp_Burk.mall._CP000010                      	79        	7200.75   	-30.17    	-17.60    	-27.20    	-25.50    	-25.00    	0.31      	0.00      	0.00      	0.32      	0.32      	0.00      	0.00      	0.32      	0.31      	0.00      	0.00      	0.32      
srp_Citr.sine._CN181543                      	78        	7200.43   	-22.81    	1381.00   	-23.30    	-22.00    	-19.50    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00       
srp_Lact.case._CP000423                      	79        	2719.64   	-29.84    	-4.80     	-26.10    	-25.70    	-24.30    	0.00      	0.60      	0.60      	0.60      	0.00      	0.71      	0.71      	0.71      	0.00      	0.62      	0.62      	0.62      
srp_Lact.john._AX926712                      	76        	1319.88   	-31.39    	-18.80    	-25.10    	-25.60    	-25.30    	0.37      	0.33      	0.48      	0.50      	0.39      	0.35      	0.49      	0.53      	0.37      	0.33      	0.48      	0.50      
srp_Lact.lact._AE006305                      	77        	3545.02   	-27.24    	-14.80    	-25.50    	-25.50    	-24.30    	0.88      	0.88      	0.88      	0.57      	0.90      	0.90      	0.90      	0.59      	0.88      	0.88      	0.88      	0.57      
srp_Myco.capr._D00560                        	77        	1037.36   	-28.82    	-17.00    	-24.50    	-24.50    	-23.60    	0.85      	0.85      	0.85      	0.85      	0.88      	0.88      	0.88      	0.88      	0.85      	0.85      	0.85      	0.85      
srp_Myco.pene._BA000026                      	77        	864.08    	-46.86    	-44.80    	-45.90    	-45.90    	-42.00    	0.57      	0.57      	0.57      	1.00      	0.59      	0.59      	0.59      	1.00      	0.57      	0.57      	0.57      	1.00      
srp_Myco.pneu._AE000044                      	77        	1316.26   	-28.82    	-17.00    	-24.50    	-24.50    	-23.60    	0.85      	0.85      	0.85      	0.85      	0.88      	0.88      	0.88      	0.88      	0.85      	0.85      	0.85      	0.85      
srp_Myco.pneu._S76009                        	79        	1102.36   	-29.37    	-18.50    	-25.20    	-25.20    	-24.50    	0.88      	0.86      	0.86      	0.86      	0.90      	0.87      	0.87      	0.87      	0.88      	0.86      	0.86      	0.86      
srp_Myco.pneu._U00089                        	77        	1321.45   	-28.82    	-17.00    	-24.50    	-24.50    	-23.60    	0.85      	0.85      	0.85      	0.85      	0.88      	0.88      	0.88      	0.88      	0.85      	0.85      	0.85      	0.85      
srp_Myco.pulm._U06833                        	77        	1038.28   	-28.82    	-17.90    	-24.50    	-24.50    	-23.60    	0.88      	0.88      	0.88      	0.88      	0.90      	0.90      	0.90      	0.90      	0.88      	0.88      	0.88      	0.88      
srp_Proc.mari._CP000111                      	74        	6624.05   	-20.85    	-7.80     	-18.20    	-16.70    	-16.10    	0.39      	0.00      	0.00      	0.00      	0.43      	0.00      	0.00      	0.00      	0.39      	0.00      	0.00      	0.00      
srp_Shig.flex._AE005674                      	74        	1611.83   	-31.65    	-13.50    	-29.40    	-28.50    	-25.50    	0.19      	0.00      	0.00      	0.20      	0.23      	0.00      	0.00      	0.24      	0.20      	0.00      	0.00      	0.21      
srp_Stre.agal._AE014209                      	77        	1387.41   	-30.11    	-18.00    	-26.50    	-26.90    	-26.90    	0.85      	0.85      	0.88      	0.85      	0.86      	0.86      	0.90      	0.86      	0.85      	0.85      	0.88      	0.85         
srp_Stre.agal._CP000114                      	77        	1398.26   	-30.11    	-17.60    	-26.50    	-26.90    	-26.90    	0.87      	0.87      	0.85      	0.87      	0.89      	0.89      	0.88      	0.89      	0.87      	0.87      	0.85      	0.87      
srp_Stre.muta._AE014133                      	73        	917.26    	-32.83    	-20.60    	-30.10    	-29.40    	-28.70    	0.74      	0.68      	0.68      	0.85      	0.72      	0.70      	0.70      	0.84      	0.74      	0.68      	0.68      	0.85         
srp_Stre.pneu._AE005672                      	77        	1603.56   	-29.51    	-15.80    	-26.50    	-26.50    	-26.90    	0.74      	0.86      	0.86      	0.86      	0.75      	0.89      	0.89      	0.89      	0.74      	0.86      	0.86      	0.86      
srp_Stre.pyog._AE004092                      	73        	1917.94   	-28.42    	-13.30    	-25.60    	-25.60    	-25.70    	0.81      	0.81      	0.81      	0.81      	0.83      	0.83      	0.83      	0.83      	0.81      	0.81      	0.81      	0.81      
srp_Stre.pyog._AE009969                      	78        	2857.23   	-30.53    	-18.80    	-27.30    	-27.30    	-28.30    	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      
srp_Stre.sang._CP000387                      	73        	838.33    	-30.39    	-16.50    	-26.60    	-26.50    	-26.20    	0.68      	0.65      	0.80      	0.80      	0.68      	0.67      	0.81      	0.81      	0.68      	0.65      	0.80      	0.80      
srp_Stre.suis._CP000407                      	78        	1647.10   	-30.94    	-14.10    	-28.40    	-28.50    	-28.20    	0.70      	0.82      	0.68      	0.82      	0.71      	0.84      	0.70      	0.84      	0.70      	0.82      	0.68      	0.82    
